company_id,field,url
c003,vla_evidence_url,https://github.com/pollen-robotics/lerobot
c003,lockin_evidence_url,https://huggingface.co/blog/hugging-face-pollen-robotics-acquisition
c003,extra,https://github.com/pollen-robotics
c003,extra,https://www.pollen-robotics.com/
c039,vla_evidence_url,https://github.com/Positronic-Robotics/openpi
c039,lockin_evidence_url,https://github.com/Positronic-Robotics
c071,vla_evidence_url,https://github.com/qrafty-ai/lerobot
c071,lockin_evidence_url,https://github.com/qrafty-ai
c014,vla_evidence_url,https://github.com/RLWRLD
c014,pain_signal_url,https://github.com/RLWRLD/launch-list
c014,extra,https://www.therobotreport.com/physical-ai-startup-rlwrld-raises-26m/
c002,vla_evidence_url,https://github.com/RobotecAI/openvla
c002,pain_signal_url,https://www.robotec.ai/careers
c002,lockin_evidence_url,https://github.com/RobotecAI
c037,vla_evidence_url,https://github.com/satinavrobotics/openpi
c037,lockin_evidence_url,https://github.com/satinavrobotics
c070,vla_evidence_url,https://github.com/servodevelop/lerobot
c070,lockin_evidence_url,https://github.com/servodevelop
c047,vla_evidence_url,https://github.com/GetSoloTech/solo-robotics
c047,lockin_evidence_url,https://github.com/GetSoloTech
c047,extra,https://getsolo.tech/
c038,vla_evidence_url,https://github.com/SpesRobotics/lerobot
c038,lockin_evidence_url,https://github.com/SpesRobotics
c066,vla_evidence_url,https://github.com/teamgrit-lab/tg-lerobot
c066,lockin_evidence_url,https://github.com/teamgrit-lab
c056,vla_evidence_url,https://github.com/tiiuae/openvla-internal
c056,pain_signal_url,https://github.com/tiiuae
c013,vla_evidence_url,https://github.com/Tommoro-AI
c044,vla_evidence_url,https://github.com/transistor-robotics/openpi
c044,pain_signal_url,https://github.com/transistor-robotics
c006,vla_evidence_url,https://github.com/TrossenRobotics/lerobot_trossen
c006,pain_signal_url,https://github.com/TrossenRobotics
c073,vla_evidence_url,https://github.com/tuul-ai
c008,vla_evidence_url,https://github.com/xArm-Developer/lerobot
c008,pain_signal_url,https://github.com/xArm-Developer
c042,vla_evidence_url,https://github.com/ugo-plus
c036,vla_evidence_url,https://github.com/vassar-robotics/Shoebill-Leader-Follower-Robotic-Arms
c036,pain_signal_url,https://www.workatastartup.com/companies/30511
c036,lockin_evidence_url,https://github.com/vassar-robotics
c036,extra,https://www.ycombinator.com/companies/vassar-robotics
c020,vla_evidence_url,https://huggingface.co/Vizuara/dreamzero-so101-lora
c020,pain_signal_url,https://huggingface.co/Vizuara
c019,vla_evidence_url,https://huggingface.co/vrfai
c009,vla_evidence_url,https://github.com/wandelbotsgmbh
c009,lockin_evidence_url,https://wandelbots.com
c021,vla_evidence_url,https://huggingface.co/webstep/smolvla_single_orange_duplo_pickup
c021,pain_signal_url,https://huggingface.co/webstep
c051,vla_evidence_url,https://github.com/WeGo-Robotics/lerobot_robot_piper
c051,pain_signal_url,https://github.com/WeGo-Robotics
c052,vla_evidence_url,https://github.com/westonrobot
c031,vla_evidence_url,https://github.com/yaak-ai/rmind
c031,pain_signal_url,https://yaak.ai
c031,lockin_evidence_url,https://github.com/yaak-ai
c075,vla_evidence_url,https://github.com/zenbotix/lerobot_dex
c075,pain_signal_url,https://github.com/zenbotix
c057,vla_evidence_url,https://github.com/ZeroShotData/Isaac-GR00T
c057,pain_signal_url,https://github.com/ZeroShotData
c156,vla_evidence_url,https://brightpick.ai
c156,extra,https://www.therobotreport.com/rbr50-2024/
c111,vla_evidence_url,https://osaro.com
c111,pain_signal_url,https://a16z.com/portfolio/
c155,pain_signal_url,https://www.ambirobotics.com/careers
c155,universe,https://www.therobotreport.com/rbr50-2024/
c133,vla_evidence_url,https://github.com/hello-robot/stretch_ai
c133,pain_signal_url,https://hello-robot.com/careers
c133,extra,https://spectrum.ieee.org/hello-robot-stretch-3
c133,universe,https://www.therobotreport.com/rbr50-2025/
c140,extra,https://www.iotworldtoday.com/robotics/locus-robotics-latest-funding-round-values-company-at-nearly-2b-
c140,universe,https://www.therobotreport.com/rbr50-2025/
c118,vla_evidence_url,https://www.feedtheai.com/nventures-portfolio-ai-startups-backed-by-nvidia/
c118,extra,https://www.therobotreport.com/moon-surgical-raises-55-4m-to-support-surgical-robot-platform/
c148,vla_evidence_url,https://humanoidroboticstechnology.com/news/shadow-robot-unveils-the-worlds-most-robust-dexterous-hand-developed-with-google-deepmind/
c148,extra,https://shadowrobot.com/
c148,universe,https://www.therobotreport.com/rbr50-2025/
c242,vla_evidence_url,https://embodiedai.ch/
c187,vla_evidence_url,https://www.therobotreport.com/x-square-robot-secures-140m-in-funding-for-ai-foundation-models/
c228,vla_evidence_url,https://www.agibot.com/
c228,pain_signal_url,https://www.scmp.com/tech/big-tech/article/3337477/chinas-agibot-targets-us142-million-revenue-march-humanoid-robots-gathers-pace
c228,extra,https://mikekalil.com/blog/agibot-zhiyuan-robotics/
c228,universe,https://www.scmp.com/tech/tech-trends/article/3307356/chinas-humanoid-robot-sector-enters-mass-production-unitree-agibot-among-pack
c249,vla_evidence_url,https://foundation.bot/
c249,pain_signal_url,https://www.foundation.bot/careers
c249,extra,https://sfstandard.com/2025/08/13/humanoid-robots-military-foundation-terminator/
c178,vla_evidence_url,https://www.therobotreport.com/galbot-brings-in-300m-to-scale-mobile-manipulator-deployments/
c178,extra,https://www.galbot.com/en
c186,vla_evidence_url,https://kr-asia.com/touch-enabled-robots-inch-closer-to-reality-as-lumos-robotics-secures-new-funding
c186,pain_signal_url,https://www.linkedin.com/company/lumos-robotics
c186,extra,https://humanoids.dev/p/lumos-robotics-deep-dive
c186,universe,https://humanoidroboticstechnology.com/articles/humanoid-funding-rounds-in-2025/
c234,vla_evidence_url,https://x.com/XRoboHub/status/1924100325969170824
c234,pain_signal_url,https://magiclab.top
c234,lockin_evidence_url,https://autonews.gasgoo.com/articles/icv/seeds-magiclab-officially-announces-500-million-yuan-new-funding-2031616054575349761
c234,extra,https://www.magiclab.top/en/
c234,extra,https://www.linkedin.com/company/magiclabrobotics
c234,universe,https://blog.robozaps.com/b/humanoid-robot-companies
